trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
763	184	0	1	4	3	1	1	1.0	1	2012	4	14	6	16.5	38	1	1	2	9886	2.566111111	0.818888889	0.079444444	0.0	0.885	0.166666667	1	0.440555556	3.0	1.66	0.0	0.222573
817	197	1	3	1	5	1	1	1.0	1	2012	4	14	6	18.0	41	0	1	2	538	0.120833333	0.038055556	0.064444444	0.0	0.033333333	0.0	0	0.0308333329999999	1.5	0.08	0.0	0.351351
819	198	0	1	4	3	6	5	0.0	1	2012	4	15	7	20.83333333	77	1	0	0	2865	0.810277778	0.231388889	0.098333333	0.0	0.230555556	0.2	1	0.144444444	0.0	0.52	0.0	0.273077
824	199	1	0	4	3	2	1	1.0	1	2012	4	15	7	19.0	51	0	1	2	9053	2.103611111	0.686111111	0.235833333	0.0	0.496666667	0.0	0	0.5030555560000001	1.5	1.31	0.0	0.50138
855	207	0	1	4	3	1	1	1.0	1	2012	4	15	7	12.5	43	1	1	2	4470	1.042777778	0.355277778	0.1625	0.0	0.446944444	0.1	1	0.316388889	3.0	0.84	0.0	0.421422
864	209	1	0	1	3	2	1	1.0	1	2012	4	15	7	13.0	34	0	1	1	990	0.2869444439999999	0.098055556	0.1425	0.016666667	0.0	0.0	0	0.093333333	1.5	0.18	0.0	0.33631
867	210	0	0	3	3	6	1	1.0	1	2012	4	15	7	10.5	32	0	1	0	3722	0.941944444	0.301111111	0.144444444	0.0	0.353055556	0.1011111109999999	1	0.2213888889999999	3.0	0.68	0.0	0.474279
946	225	0	2	1	3	1	5	0.0	1	2012	4	16	1	17.5	66	1	0	1	410	0.094444444	0.031111111	0.034722222	0.0	0.054722222	0.0	0	0.033055556	0.0	0.1	0.0	0.193277
956	226	0	5	3	5	6	5	0.0	1	2012	4	16	1	15.08333333	71	0	0	0	6143	1.489166667	0.441666667	0.040555556	0.0	0.381666667	0.0	0	0.311388889	0.0	1.04	0.0	0.2051739999999999
1003	233	1	1	3	4	2	1	1.0	1	2012	4	17	2	13.25	50	0	1	1	3140	0.816666667	0.270277778	0.220833333	0.1166666669999999	0.0	0.0	0	0.330555556	2.4	0.55	10.5	0.636975
1022	236	0	4	3	1	6	1	1.0	1	2012	4	17	2	17.5	28	0	1	0	6129	1.454166667	0.52	0.274722222	0.283333333	0.0	0.0	0	0.4502777779999999	2.9	1.04	10.5	0.759408
1027	237	1	0	3	3	1	1	1.0	1	2012	4	17	2	17.5	51	0	1	2	8940	2.049166667	0.6597222220000001	0.299444444	0.416666667	0.0	0.0	0	0.629444444	2.4	1.88	10.5	0.738747
1038	239	1	3	4	5	1	1	1.0	1	2012	4	17	2	19.0	57	0	1	1	4740	1.220833333	0.394722222	0.322222222	0.1	0.0	0.0	0	0.275833333	1.5	0.86	0.0	0.396777
1049	242	0	1	4	4	1	1	1.0	1	2012	4	17	2	17.0	45	0	1	2	4557	1.093055556	0.338055556	0.026388889	0.0	0.558611111	0.091388889	1	0.340277778	3.0	0.97	0.0	0.321633
1066	244	3	0	1	2	6	5	0.0	1	2012	4	17	2	8.0	7	1	0	0	527	0.128055556	0.041944444	0.033055556	0.0	0.038055556	0.0	0	0.038333333	0.0	0.09	0.0	0.2681159999999999
1090	249	1	1	1	2	6	1	1.0	1	2012	4	18	3	8.75	51	1	0	0	1244	0.358333333	0.099444444	0.2288888889999999	0.0	0.044444444	0.0	0	0.133888889	1.5	0.3	0.0	0.244813
1096	249	2	1	2	3	6	1	1.0	1	2012	4	18	3	16.58333333	29	0	0	0	3329	0.85	0.336111111	0.258888889	0.0	0.310277778	0.0	0	0.263611111	1.5	0.62	0.0	0.6016859999999999
1102	251	1	0	3	4	6	1	1.0	1	2012	4	18	3	9.5	30	0	0	0	12860	2.8575	0.887777778	0.253888889	0.483333333	0.0	0.1166666669999999	1	0.862222222	2.8	2.14	10.5	0.5625
1103	251	1	3	3	4	6	1	1.0	1	2012	4	18	3	18.5	30	0	0	0	12860	2.926388889	0.961111111	0.253055556	0.5	0.0	0.1166666669999999	1	0.822777778	3.9	2.05	0.0	0.583727
1104	252	0	0	1	2	6	1	1.0	1	2012	4	18	3	8.75	32	1	1	0	267	0.070277778	0.039444444	0.030555556	0.0	0.039444444	0.0	0	0.035555556	1.5	0.06	0.0	0.0625
1117	254	0	1	4	1	2	1	1.0	1	2012	4	18	3	17.0	33	1	0	1	1373	0.352222222	0.133055556	0.1436111109999999	0.0	0.153333333	0.0	0	0.163055556	1.5	0.28	0.0	0.502555
1122	254	4	0	4	3	1	1	1.0	1	2012	4	18	3	11.5	30	0	1	1	4136	1.006666667	0.340555556	0.230555556	0.0	0.428611111	0.0	0	0.328333333	1.5	0.87	0.0	0.44247
1136	257	0	1	4	4	1	1	1.0	1	2012	4	18	3	14.5	46	0	1	2	5381	1.320277778	0.493888889	0.187777778	0.0	0.261944444	0.0	0	0.198333333	1.5	0.78	0.0	0.2030809999999999
1157	260	2	0	3	3	6	1	1.0	1	2012	4	18	3	10.0	18	1	0	0	8943	1.926111111	0.554722222	0.138888889	0.0	0.5741666670000001	0.0	0	0.4044444439999999	1.5	1.25	0.0	0.4807689999999999
1158	260	2	1	3	3	6	1	1.0	1	2012	4	18	3	20.0	18	1	0	0	8943	1.949722222	0.553888889	0.123888889	0.0	0.4658333329999999	0.0	0	0.371388889	1.5	1.27	0.0	0.342558
1185	267	0	1	1	2	6	1	1.0	1	2012	4	19	4	12.0	29	1	0	0	400	0.098888889	0.041944444	0.0313888889999999	0.0	0.028333333	0.0	0	0.043888889	1.5	0.08	0.0	0.240506
1220	271	0	1	1	1	1	1	1.0	1	2012	4	19	4	12.08333333	53	1	1	1	2060	0.558333333	0.162777778	0.282777778	0.0	0.095555556	0.0	0	0.1375	1.5	0.42	0.0	0.210101
1225	273	0	0	3	4	1	1	1.0	1	2012	4	19	4	7.0	46	0	0	1	11268	2.793055556	0.8272222220000001	0.053333333	0.0	0.8919444440000001	0.0847222219999999	1	0.521944444	3.0	1.98	0.0	0.52049
1247	278	1	1	4	5	1	1	1.0	1	2012	4	19	4	7.55	48	0	1	2	5400	1.281388889	0.388055556	0.125833333	0.0	0.508611111	0.083333333	1	0.304166667	3.0	1.24	0.0	0.317808
1269	281	1	2	3	3	1	5	0.0	1	2012	4	19	4	18.25	68	0	1	2	7852	1.899722222	0.6138888889999999	0.228611111	0.2	0.333333333	0.1166666669999999	1	0.636388889	0.0	1.59	0.0	0.682671
1280	282	4	1	1	2	6	5	0.0	1	2012	4	19	4	8.916666667000001	35	0	0	0	1483	0.4144444439999999	0.146111111	0.152222222	0.0	0.170833333	0.0	0	0.120833333	0.0	0.31	0.0	0.0
1283	282	4	4	3	4	6	5	0.0	1	2012	4	19	4	13.5	35	0	0	0	4339	1.094722222	0.330555556	0.051666667	0.0	0.373333333	0.133333333	1	0.3316666669999999	0.0	0.78	0.0	0.587102
1313	285	0	3	4	3	2	1	1.0	1	2012	4	20	5	15.75	40	1	1	2	1023	0.338611111	0.115	0.0991666669999999	0.0	0.09	0.0	0	0.088888889	1.5	0.23	0.0	0.321875
1334	286	3	4	3	3	2	1	1.0	1	2012	4	20	5	18.5	22	0	0	1	3602	0.8705555559999999	0.2691666669999999	0.3025	0.1	0.0	0.0	0	0.228611111	1.7	0.6	0.0	0.207776
1337	287	0	1	3	3	6	1	1.0	1	2012	4	20	5	18.5	24	1	0	0	2960	0.7483333329999999	0.2688888889999999	0.255	0.0	0.246111111	0.0	0	0.2144444439999999	1.5	0.52	0.0	0.507772
1340	288	0	0	4	4	2	1	1.0	1	2012	4	20	5	7.5	28	1	1	1	5040	1.270555556	0.415	0.0725	0.0	0.7125	0.0	0	0.276666667	1.5	0.79	0.0	0.4026099999999999
1402	297	0	0	3	1	6	1	1.0	1	2012	4	20	5	7.833333333	37	0	0	0	9101	2.190833333	0.658611111	0.199444444	0.3833333329999999	0.0	0.0	0	0.6216666670000001	3.3	1.76	10.5	0.5214479999999999
1413	299	1	3	4	5	1	1	1.0	1	2012	4	20	5	13.5	28	0	1	1	1321	0.368333333	0.114722222	0.081388889	0.0	0.114166667	0.0	0	0.096388889	1.5	0.26	0.0	0.230548
1462	308	1	4	4	3	1	1	1.0	1	2012	4	21	6	20.0	56	1	1	1	6098	1.465277778	0.431666667	0.189444444	0.0	0.256944444	0.0	0	0.299444444	1.5	0.96	0.0	0.199443
1482	314	1	0	3	3	6	1	1.0	1	2012	4	21	6	10.5	36	0	0	0	22233	5.395	1.727777778	0.1275	0.6	0.0925	0.416666667	3	1.189722222	6.3	4.04	0.0	0.419799
1496	316	2	4	4	3	1	1	1.0	1	2012	4	21	6	20.58333333	62	0	1	1	5190	1.3	0.359166667	0.145277778	0.0	0.425	0.0	0	0.332777778	1.5	0.91	0.0	0.30384
1497	316	2	5	4	3	1	1	1.0	1	2012	4	21	6	21.0	62	0	1	1	5190	1.279444444	0.361666667	0.1725	0.0	0.401666667	0.0	0	0.288611111	1.5	0.96	0.0	0.252166
1504	318	1	1	1	3	1	1	1.0	1	2012	4	21	6	16.16666667	23	0	1	1	472	0.122777778	0.058333333	0.0288888889999999	0.0	0.0436111109999999	0.0	0	0.048055556	1.5	0.1	0.0	0.109827
1527	323	1	1	4	4	2	1	1.0	1	2012	4	21	6	12.5	61	0	1	1	2563	0.7111111109999999	0.27	0.203888889	0.0	0.2	0.0	0	0.265	1.5	0.54	0.0	0.1991609999999999
1560	327	1	2	4	3	1	5	0.0	1	2012	4	22	7	18.08333333	84	1	0	1	2261	0.553333333	0.186944444	0.121388889	0.0	0.111666667	0.0	0	0.128333333	0.0	0.37	0.0	0.186147
1607	335	2	1	3	3	6	1	0.5	1	2012	4	22	7	15.0	18	0	0	0	2140	0.656944444	0.2213888889999999	0.1975	0.0	0.316666667	0.0	0	0.199444444	0.75	0.48	0.0	0.417827
1609	335	3	1	3	3	6	5	0.0	1	2012	4	22	7	15.33333333	7	1	0	0	5980	1.503611111	0.5822222220000001	0.221111111	0.133333333	0.233333333	0.15	1	0.417777778	0.0	1.07	0.0	0.444814
1659	348	0	1	3	5	1	1	1.0	1	2012	4	23	1	18.0	53	0	1	2	1037	0.274444444	0.2	0.241388889	0.016666667	0.0	0.0	0	0.167777778	2.4	0.41	10.5	0.711921
1660	348	0	2	4	3	1	1	1.0	1	2012	4	23	1	23.5	53	0	1	2	6624	1.499166667	0.518888889	0.257777778	0.2666666669999999	0.0	0.0	0	0.308055556	2.4	1.04	0.0	0.5428310000000001
1666	350	0	0	3	3	6	1	1.0	1	2012	4	23	1	11.0	27	0	0	0	2727	0.657222222	0.2213888889999999	0.049166667	0.0	0.325833333	0.0	0	0.148055556	1.5	0.47	0.0	0.3452159999999999
1668	351	0	0	3	2	1	4	0.5	1	2012	4	23	1	8.5	22	1	0	1	16961	3.713055556	1.278055556	0.190277778	0.6166666670000001	0.0	0.1	1	0.8977777779999999	2.6	2.72	10.5	0.6732670000000001
1675	351	5	1	3	2	1	3	0.0	1	2012	4	23	1	16.0	12	0	0	1	1474	0.393055556	0.135277778	0.111111111	0.0	0.170833333	0.0	0	0.135833333	0.0	0.32	0.0	0.0879346
1688	353	2	4	4	3	1	2	0.0	1	2012	4	23	1	19.0	17	0	0	1	2160	0.5508333329999999	0.1472222219999999	0.183611111	0.0	0.148888889	0.0	0	0.18	0.0	0.53	0.0	0.12963
1696	354	0	0	1	3	6	1	1.0	1	2012	4	23	1	10.5	19	0	0	0	758	0.310833333	0.099722222	0.191944444	0.0	0.033333333	0.0	0	0.0872222219999999	1.5	0.2	0.0	0.0828025
1698	355	0	0	3	3	6	5	0.0	1	2012	4	23	1	10.0	72	1	1	0	1099	0.3358333329999999	0.128333333	0.098888889	0.0	0.1166666669999999	0.0	0	0.127777778	0.0	0.32	0.0	0.236957
1700	356	0	0	3	3	6	5	0.0	1	2012	4	23	1	10.5	73	1	0	0	10119	2.526388889	0.7655555559999999	0.368888889	0.3833333329999999	0.0	0.15	1	0.547222222	0.0	1.62	0.0	0.298477
1721	363	0	1	4	5	5	1	1.0	1	2012	4	24	2	13.0	46	1	1	1	4135	1.0175	0.306666667	0.410277778	0.166666667	0.0	0.0	0	0.26	2.1	0.91	0.0	0.297009
1735	364	2	0	3	2	1	2	0.0	1	2012	4	24	2	7.75	16	0	0	1	2467	0.561111111	0.1675	0.226111111	0.0	0.096388889	0.0	0	0.135	0.0	0.39	0.0	0.0534979
1746	365	0	4	4	5	1	1	1.0	1	2012	4	25	3	14.08333333	45	0	1	1	7382	1.744444444	0.570277778	0.063055556	0.166666667	0.357222222	0.2491666669999999	2	0.352777778	4.5	1.27	0.0	0.212598
1760	367	0	1	4	1	1	1	1.0	1	2012	4	25	3	16.0	51	1	1	2	2926	0.8136111109999999	0.235833333	0.139166667	0.0	0.391944444	0.1180555559999999	1	0.268055556	3.0	0.65	0.0	0.357513
1766	368	1	1	3	1	1	1	1.0	1	2012	4	25	3	18.0	43	0	1	1	7425	1.786111111	0.627777778	0.265833333	0.35	0.0	0.0	0	0.689444444	2.9	1.63	10.5	0.7236100000000001
1774	369	0	2	4	3	6	5	0.0	1	2012	4	25	3	13.83333333	78	1	0	0	3631	0.917222222	0.255555556	0.056666667	0.0	0.334722222	0.0	0	0.283611111	0.0	0.7	0.0	0.355534
1783	371	1	1	1	2	6	5	0.0	1	2012	4	25	3	15.16666667	5	1	0	0	704	0.182222222	0.068055556	0.1047222219999999	0.0	0.033333333	0.0	0	0.075833333	0.0	0.18	0.0	0.0549451
1785	372	0	0	4	2	5	1	1.0	1	2012	4	25	3	8.666666667000001	48	1	1	1	848	0.302777778	0.128888889	0.191111111	0.0	0.035555556	0.0	0	0.091666667	1.5	0.29	0.0	0.151515
1822	378	1	0	2	4	1	1	1.0	1	2012	4	25	3	7.5	50	0	1	1	6867	1.695277778	0.538333333	0.2613888889999999	0.0	0.560277778	0.0	0	0.383055556	1.5	1.16	0.0	0.29079
1834	380	0	2	3	4	1	5	0.0	1	2012	4	25	3	13.5	64	1	1	2	749	0.208888889	0.076388889	0.085	0.0	0.0605555559999999	0.0	0	0.071666667	0.0	0.17	0.0	0.321705
1837	381	0	1	3	5	1	1	1.0	1	2012	4	26	4	16.5	42	0	1	1	20811	4.747777778000001	1.549166667	0.133611111	0.6	0.0	0.1166666669999999	1	1.332222222	7.8	3.46	10.5	0.648457
1869	386	0	1	3	1	6	1	1.0	1	2012	4	26	4	19.0	53	1	0	0	5780	1.5072222219999998	0.478055556	0.140277778	0.25	0.337777778	0.080277778	1	0.4552777779999999	3.0	1.04	0.0	0.6400239999999999
1886	391	0	0	3	3	6	1	1.0	1	2012	4	27	5	21.0	26	0	0	0	2113	0.493333333	0.147777778	0.151388889	0.0	0.098611111	0.0	0	0.144444444	1.5	0.35	0.0	0.35
1889	391	0	3	3	3	6	1	1.0	1	2012	4	27	5	0.75	26	0	0	0	4390	1.086388889	0.341111111	0.2238888889999999	0.0	0.322222222	0.0	0	0.215833333	1.5	0.79	0.0	0.190476
1906	396	1	0	4	1	2	5	0.0	1	2012	4	27	5	7.0	61	1	1	1	919	0.280277778	0.111388889	0.0925	0.0	0.078333333	0.0	0	0.070833333	0.0	0.18	0.0	0.384314
1909	397	1	0	4	2	1	1	1.0	1	2012	4	27	5	8.5	38	1	1	2	1334	0.382222222	0.120277778	0.225277778	0.05	0.0	0.0	0	0.105277778	2.1	0.32	0.0	0.0765171
1913	397	1	8	4	5	1	1	1.0	1	2012	4	27	5	15.3	38	1	1	2	1699	0.468055556	0.131111111	0.166388889	0.0	0.143055556	0.0	0	0.128055556	1.5	0.37	0.0	0.121475
1917	397	3	3	4	5	2	5	0.0	1	2012	4	27	5	15.3	6	1	0	2	1699	0.468055556	0.131111111	0.166388889	0.0	0.143055556	0.0	0	0.128055556	0.0	0.31	0.0	0.121475
1924	399	3	3	3	3	2	2	0.0	1	2012	4	27	5	14.5	17	0	0	1	2036	0.536388889	0.1925	0.227777778	0.033333333	0.0	0.0	0	0.222777778	0.75	0.48	0.0	0.2344139999999999
1926	399	4	2	3	3	2	3	0.0	1	2012	4	27	5	14.5	15	0	0	1	2036	0.536388889	0.1925	0.227777778	0.033333333	0.0	0.0	0	0.222777778	0.75	0.48	0.0	0.2344139999999999
1932	400	1	1	1	5	1	1	1.0	1	2012	4	27	5	12.0	36	0	0	1	219	0.165277778	0.056388889	0.1047222219999999	0.0	0.0313888889999999	0.0	0	0.070833333	1.5	0.15	0.0	0.0313726
1936	402	0	0	1	3	6	1	1.0	1	2012	4	27	5	15.66666667	33	1	1	0	690	0.171388889	0.052777778	0.033333333	0.0	0.1155555559999999	0.0	0	0.075277778	1.5	0.16	0.0	0.273063
1967	409	0	0	3	1	6	4	0.5	1	2012	4	28	6	13.5	27	0	1	0	5556	1.3775	0.425555556	0.121944444	0.2	0.233333333	0.133333333	1	0.488333333	2.35	1.07	0.0	0.536974
1974	409	2	0	3	3	6	1	1.0	1	2012	4	28	6	10.0	24	0	1	0	16040	3.898611111	1.215555556	0.304722222	0.6	0.0	0.166666667	1	0.887777778	5.3	2.82	0.0	0.4790359999999999
1993	415	0	0	4	3	2	1	1.0	1	2012	4	28	6	8.5	34	0	1	1	4716	1.154444444	0.34	0.045277778	0.0	0.3425	0.074166667	1	0.224444444	3.0	0.66	0.0	0.1212869999999999
1999	416	0	2	3	3	6	1	0.0	1	2012	4	28	6	17.5	52	1	1	0	3632	0.801388889	0.215	0.16	0.083333333	0.0	0.0	0	0.1963888889999999	2.1	0.57	0.0	0.144272
2006	417	4	0	3	3	1	5	0.0	1	2012	4	28	6	11.0	6	0	0	2	7863	1.903055556	0.585	0.120277778	0.166666667	0.274722222	0.167222222	1	0.544166667	0.0	1.5	0.0	0.60388
2049	427	1	5	4	3	1	1	1.0	1	2012	4	29	7	14.75	58	0	1	2	3819	0.913055556	0.241388889	0.190277778	0.0	0.201388889	0.0	0	0.2238888889999999	1.5	0.68	0.0	0.279156
2080	436	2	1	4	5	2	3	0.0	1	2012	4	29	7	19.0	11	0	0	1	2212	0.567777778	0.181111111	0.156388889	0.0	0.209166667	0.0	0	0.138333333	0.0	0.33	0.0	0.170683
